       Feature_1  Feature_2  Feature_3  Feature_4  Feature_5  Feature_6  \
1       -0.799755    0.203649    2.000000   -1.091945    1.477251   -3.920030   
2        1.773071   -1.894226    2.000000    0.989519   -1.711147    1.590884   
3        2.907570   -1.560428    7.000000    2.267714    0.162972    1.876385   
4        0.616429   -0.810760    2.000000    0.345049    0.312556   -4.709789   
5        1.059379   -1.707382    6.000000    0.599759   -1.672073    1.512840   
6        2.940908   -1.797291    7.000000    2.325755    0.515512    1.976165   
7        2.041643   -1.800214    7.000000    1.142320   -0.224094    1.899989   
8        1.061035   -0.922881    4.000000    0.376812    0.128496    1.265685   
9        1.697075   -1.941880    8.000000    2.800484    0.582967    1.894958   
10       0.091864   -0.623881    2.000000   -0.127446    0.109832    0.834815   
11       0.942771   -0.952984    8.000000    0.591018   -2.477337    1.027152   
12       2.184987   -1.502143    7.000000    1.325536   -1.413281    1.572679   
13       3.391709   -2.182008    8.000000    2.617170   -1.299439    2.073643   
14       0.431419   -0.232871    2.000000   -0.186175   -3.246372    0.632042   
15       3.814612   -2.639770    7.000000    2.494809   -2.616007    2.078767   
16      -0.138701   -0.574464    9.000000   -0.653148    0.979971    0.615013   
17       2.705578   -2.257239    3.000000    1.901439   -2.997013    1.846924   
18       0.648302   -0.858424    6.000000    0.198462   -0.934969    0.532702   
19       1.655819   -1.620996    7.000000    1.234504   -2.184989    0.814239   
20       0.797692   -1.366941    6.000000    0.917565   -1.508494    0.904904   
21       0.868311   -1.104961    2.000000    0.038686    0.153477    1.384378   
22       0.909771   -1.440043    2.000000    0.187437   -1.454538    1.111124   
23       1.114133   -1.094967    5.000000    0.669918   -0.067479    1.504171   
24       2.058641   -1.386231    7.000000    1.343878   -1.378471    1.708199   
25       0.870557   -1.204043    3.000000    0.222977    1.277641    1.161729   
26       1.279339   -1.520659    4.000000    1.173568   -1.493536    1.011263   
27       0.728071   -1.270102    5.000000    0.477635   -1.713708    1.161215   
28       1.719761   -1.154997    7.000000    1.349263   -0.925562    1.583063   
29       2.648613   -2.558704    3.000000    1.816430   -2.896942    2.014772   
...           ...         ...         ...         ...         ...         ...   
39970    0.548016   -0.910130    2.000000    0.203630    0.277600    0.972470   
39971    1.363046   -1.434335    5.305391    0.808450   -2.026342    1.321954   
39972    0.111326   -0.860649    8.000000   -0.206556   -3.060324    0.591900   
39973    0.028222   -0.726649    4.000000   -0.296779   -2.189259    0.677482   
39974    0.068872   -0.787138    8.000000   -0.318138   -3.096118    0.660770   
39975    0.526062   -0.976148    3.000000    0.582667   -2.995497    1.017435   
39976    0.513260   -1.043861    4.000000    0.271511   -2.101436    0.790097   
39977    0.236583   -0.996762    2.000000   -0.179982   -1.753997    0.524266   
39978    0.781494   -0.338214   10.000000    0.827925   -1.026824    1.113219   
39979    0.814028   -1.274207    2.000000    0.434922    0.747917    1.044942   
39980    0.243917   -1.029054    8.000000   -0.144160   -0.236937    0.670366   
39981    0.329876   -0.778497    9.000000   -0.038742   -3.016737    0.587757   
39982    0.338087   -0.313287    3.000000   -0.062640   -0.649303    0.814079   
39983    0.371121   -0.922046    8.000000    0.231490   -3.181496    0.470613   
39984    0.190799   -1.245101    2.000000   -0.227263    0.254039    0.240495   
39985    0.222524   -1.017708    8.000000   -0.063119   -0.309914    0.693478   
39986    1.075100   -1.798008    5.000000    0.354693   -3.273947    1.306781   
39987    1.289021   -1.156138   10.000000    1.026849   -2.120915    1.481028   
39988    0.599664   -0.794129    3.000000    0.026622   -2.049140    0.908572   
39989    0.657937   -1.393285    8.000000   -0.049443   -0.029720    0.955415   
39990   -0.001980   -0.498299    9.000000   -0.287446   -0.205708    0.814761   
39991    1.074624   -1.078305    3.000000    0.820020   -2.015988    0.561451   
39992    0.156193   -0.828525    2.000000   -0.117840   -1.538234    0.770170   
39993    0.746706   -0.523153    9.000000    0.332331   -1.618721    0.894518   
39994    0.870477   -1.072610    8.000000    0.585747   -1.241022    0.910929   
39995    0.588633   -1.023767    2.000000    0.225813    0.624725    0.934662   
39996    1.239792   -0.132500    5.654311    0.977748   -1.319419    1.172123   
39997    1.356058   -1.431532    2.000000    0.574103   -0.502238    1.350542   
39998    0.697580   -0.779576    2.000000    0.208917   -0.822983    1.226368   
39999    1.497072   -1.722168    5.255242    0.795293   -1.489078    1.409467   

       Feature_24  Feature_25  nans  
0       -1.319995   -0.857627     0  
1       -0.044783    2.439240     0  
2       -2.520518   -0.867687     0  
3       -2.728578    3.573777     0  
4       -1.179404   -0.733228     0  
5       -1.849667   -0.865227     0  
6       -2.896441    3.317426     0  
7       -1.522379   -1.171194     0  
8       -0.152247   -0.765358     0  
9       -4.956806   -1.566632     0  
10       0.054959   -0.112421     0  
11      -0.428037   -0.862617     0  
12      -1.338407    3.357526     0  
13      -0.337657   -1.037914     0  
14      -0.600883   -0.324748     0  
15      -2.772629   -1.260907     0  
16       1.035350   -0.210563     0  
17      -3.936518   -0.922199     0  
18      -0.906209   -0.386602     0  
19      -3.321298    2.151909     0  
20      -1.615773   -1.041531     0  
21      -0.373226   -0.927939     0  
22      -0.939701   -0.452542     0  
23      -0.893107   -0.953245     0  
24      -1.184137   -1.027125     0  
25      -0.601219   -0.705544     0  
26      -2.283462   -0.702636     0  
27      -0.921985   -0.632653     0  
28      -0.875756   -0.941961     0  
29      -4.035059   -1.037670     0  
...           ...         ...   ...  
39970   -0.587318   -0.639720    15  
39971   -0.678875   -0.859831    15  
39972    0.449437   -0.380556    15  
39973   -0.330071   -0.407143    15  
39974   -0.737400   -0.306315    15  
39975   -1.806513   -0.397517    15  
39976   -0.799097   -0.401091    15  
39977   -0.507738   -0.331616    15  
39978   -0.764370   -0.606594    15  
39979    0.463618   -0.504342    15  
39980    0.114681    0.418810    15  
39981   -0.256464   -0.498108    15  
39982   -0.629103    0.407677    15  
39983   -0.563713   -0.537597    15  
39984   -0.368369   -0.114509    15  
39985   -0.367213   -0.407903    15  
39986   -1.343482   -0.701096    15  
39987   -1.052487   -0.971011    15  
39988   -0.221857   -0.596364    15  
39989   -1.630818   -0.520865    15  
39990   -0.581361   -0.599406    15  
39991   -1.452438    0.363503    15  
39992   -0.592027   -0.279777    16  
39993   -0.921552   -0.644988    16  
39994   -0.513532   -0.564493    16  
39995    1.029581   -0.406845    16  
39996    0.269280   -0.605501    16  
399
